species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	diet 1	diet 2	diet source	home range	female range	male range	daily range	daily movement	population density	home range habitat
Sternoclyta cyanopectus	bird	37	1			1			10.4	10.4	-67.7	-67.7	15.500	15.500	1700.0	1700.0	0.100000	0.100000	0.100000	0.100000	0.100000		0.246667	LC	8	1	species					nectarivore	invertivore	species							
Sturnella loyca	bird	2	1			1			-33.4	-33.4	-70.5	-70.5	14.800	14.800	434.0	434.0	0.010363	0.010363	0.010363	0.010363	0.010363		0.018182	LC	113	1	species					omnivore		species							
Sublegatus arenarum	bird	73	1			1			10.4	10.4	-64.2	-64.2	26.35	26.35	436.0	436.0	0.022249	0.022249	0.022249	0.022249	0.022249		0.092172	LC	12.3	1	species					invertivore		genus							
Sublegatus modestus	bird	100	3	16	0.0000	3	23.03	40.48	10.7	-19.6	-47.6	-63.7	20.7	27.300	430.0	1552.0	0.042319	0.007822	0.005348	0.038027	0.070707	0.010078	0.240291	LC	14	1	species					invertivore		species							
Suiriri islerorum	bird	18	2			2	2.77	2.17	-15.6	-17.0	-45.9	-47.6	20.7	22.500	1442.0	1552.0	0.012491	0.007888	0.011663	0.011663	0.020253			NT	22.8	1	species					invertivore		genus							
Suiriri suiriri	bird	34	2			2	2.77	2.17	-15.6	-17.0	-45.9	-47.6	20.7	22.500	1442.0	1552.0	0.023595	0.013447	0.021924	0.021924	0.039241			LC	15.3	1	species					invertivore		species							
Sylviortorhynchus desmursii	bird	48	1			1			-35.4	-35.4	-72.3	-72.3	13.35	13.35	481.0	481.0	0.021515	0.021515	0.021515	0.021515	0.021515		0.022222																		
Synallaxis albescens	bird	27	5	45	0.0222	5	25.49	57.14	10.5	-23.8	-47.6	-79.1	20.7	26.35	436.0	1552.0	0.005800	0.007432	0.007519	0.015873	0.017722	0.000489	0.013260	LC	11.2	1	species					invertivore		species							
Synallaxis albilora	bird	23	2			1		0.00	-19.6	-19.6	-56.9	-56.9			1000.0	1000.0	0.063536	0.052442	0.064798	0.064798	0.102857		0.092742	LC								invertivore		genus							
Synallaxis azarae	bird	39	3	12	0.0833	3	18.80	25.11	-4.3	-24.8	-64.7	-79.0	15.45	20.000	739.0	895.0	0.024149	0.020723	0.031250	0.032200	0.033149	0.002725	0.081250	LC	16.9	1	species					invertivore		species							
Synallaxis castanea	bird	1	1			1			10.4	10.4	-67.7	-67.7	15.500	15.500	1700.0	1700.0	0.002703	0.002703	0.002703	0.002703	0.002703		0.006667	LC	15	1	species					invertivore		genus							
Synallaxis cinerea	bird	5	1			1			-23.6	-23.6	-46.6	-46.6	18.000	18.000	1400.0	1400.0	0.008389	0.008389	0.008389	0.008389	0.008389		0.035714									invertivore		genus							
